name,activity,governorate,phone
SOFIG,"Transformation, conservation, congélation et surgélation poisson et fruits de mer - Industries alimentaires n.c.a..",Bizerte,(216) - 99 237 037
SOFIPECHE,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Sfax,(216) - 98 410 087
SOGEDIS,Produits à base de viandes de boucherie et de volailles.,Sousse,(216) - 73 262 100
SOHAB,Aliments pour animaux de ferme.,Beja,(216) - 78 585 222
SOHAF,Conditionnement et entreposage frigorifique de fruits et de légumes.,Beja,(216) - 78 585 222
SOHAP,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Nabeul,(216) - 20 442 268
SOKAPO,"Chocolaterie, confiserie.",Sfax,(216) - 74 680 834 / 74 279 647
SOLEX,Conditionnement et entreposage frigorifique de fruits et de légumes.,Tozeur,(216) - 71 872 013
SOLIMA,Huiles d'olives et conditionnement.,Nabeul,(216) - 98 326 248 / 55 195 184
SOMASCO,Conditionnement et entreposage frigorifique de fruits et de légumes.,Kasserine,(216) - 77 467 811 / 77 467 822
SOMEC (SOUSSE),Meunerie - Travail des grains (semoulerie ) - Pâtes alimentaires et couscous.,Sousse,(216) - 73 233 055
SOMECO (KORBA),Transformation et conservation de tomates - Conservation et semi-conservation d'autres légumes - Transformation et conservation de fruits et légumes.,Nabeul,(216) - 98 342 381 / 72 388 866
SOMEPA,Aliments pour animaux de ferme.,Sfax,(216) - 74 899 401
SONEM,Eaux de table (minérales ).,Kairouan,(216) - 71 964 144 / 77 247 121
SONO,Huiles d'olives et conditionnement.,Le kef,
SONOBRA,Brasserie.,Nabeul,(216) - 24 759 806 / 56 830 440
SONOCA,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Nabeul,(216) - 98 274 522
SOPRACO,Conservation et semi-conservation d'autres légumes.,Sousse,(216) - 73 389 600
SOPRAL,"Biscotterie, biscuiterie, pâtisserie de conservation.",Sousse,(216) - 98 445 778 / 73 330 455
SOPREM,Eaux de table (minérales ).,Kairouan,(216) - 71 384 100 / 77 356 000
SOPROCAF,Transformation  du café et du thé.,Sfax,(216) - 74 863 155
SORAHUILE,Huiles et graisses brutes - Huiles d'olives et conditionnement - Huiles et graisses raffinées.,Sfax,(216) - 74 497 247
SOSAB SILMA(JELMA),Aliments pour animaux de ferme.,Sidi Bouzid,(216) - 97 136 769
SOSASEL,Production de sel.,Tozeur,(216) - 71 256 714
SOSEM,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Nabeul,(216) - 50 060 685
SOSEP,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Nabeul,(216) - 97 750 000 / 72 208 026
SOSTEM,Eaux de table (minérales ).,Zaghouan,(216) - 71 189 200 / 98 755 090
SOSTEM (EL KSOUR),Eaux de table (minérales ).,Le kef,(216) - 71 189 200 / 78 295 327
SOSTEM (ENFIDHA),Eaux de table (minérales ).,Sousse,(216) - 71 189 200 / 98 755 155
SOSTEM (EX MARWA),Eaux de table (minérales ).,Bizerte,(216) - 71 189 200 / 98 755 280
SOSTEM (TEBOURSOUK),Eaux de table (minérales ).,Beja,(216) - 71 189 200 / 98 755 090
SOTEM,Eaux de table (minérales ).,Kairouan,(216) - 29 409 990
SOTIA,Transformation et conservation de tomates - Conservation et semi-conservation d'autres légumes - Transformation et conservation de fruits et légumes.,Manouba,(216) - 70 660 200 / 71 542 245
SOTIAC,Huiles et graisses brutes - Huiles d'olives et conditionnement.,Sousse,(216) - 73 322 550
SOTRACO,"Chocolaterie, confiserie - Transformation  du café et du thé - Condiments et assaisonnements - Industries alimentaires n.c.a..",Sfax,(216) - 74 657 083 / 24 898 989
SOTRAPA,Conservation et semi-conservation d'autres légumes - Condiments et assaisonnements.,Ben Arous,(216) - 26 744 021 / 28 744 091
SOTROL,Huiles d'olives et conditionnement.,Gabes,(216) - 75 228 491 / 98 770 425
SOTUALCO,"Chocolaterie, confiserie.",Ben Arous,(216) - 98 373 985
SOTUBI,"Biscotterie, biscuiterie, pâtisserie de conservation.",Ben Arous,(216) - 71 432 999
SOTUCHOC (SITE NAASSEN),"Chocolaterie, confiserie.",Ben Arous,(216) - 71 398 910
SOTUDEX,Conditionnement et entreposage frigorifique de fruits et de légumes.,Manouba,(216) - 71 656 575 / 70 560 526
SOTUIA,"Chocolaterie, confiserie.",Bizerte,(216) - 72 494 021 / 98 189 108
