name,activity,governorate,phone,linkedin_url
DORRATEX (KORBA),Confection de vêtements de travail - Confection de vêtements de dessus - Confection de vêtements de dessous.,Nabeul,(216) - 72 225 411 / 53 925 411,https://uk.linkedin.com/company/korba-technology-solutions
DOUX FIL,Filature laine cardée.,Monastir,(216) - 73 479 201,https://ca.linkedin.com/company/fil-delivery
DPS TEXTILES,Industries textiles n.c.a.,Monastir,(216) - 73 420 014,https://ie.linkedin.com/company/dps-engineering
DRAGONERA COMPANY,Confection de vêtements de dessus.,Nabeul,(216) - 58 557 730,https://tn.linkedin.com/company/value-tunisie
DREAM CONFECTION COMPANY,Fabrication d'étoffes en maille.,Monastir,(216) - 50 910 202,https://fr.linkedin.com/company/dm-confection-votre-fabricant-textile
DREAM FASHION TUNISIE,Confection de vêtements de dessous.,Tunis,(216) - 20 559 246 / 31 189 622,https://ae.linkedin.com/company/dream-fashion-group
DREAM FASHIONS,Confection de vêtements de dessus.,Ariana,(216) - 70 681 773 / 70 681 695,https://in.linkedin.com/company/fashion-dream-apparel
DREAMTEX,Confection de vêtements de dessus - Confection de vêtements de dessous.,Ariana,(216) - 70 683 073 / 70 681 695,https://et.linkedin.com/company/dreamtextextile
ERRI.SL,Confection de vêtements de dessus.,Bizerte,(216) - 98 742 601 / 72 453 501,https://ch.linkedin.com/company/err-ag
ESC,Confection de vêtements de dessous.,Ariana,(216) - 70 680 991 / 50 522 120,https://be.linkedin.com/company/ecs-intermodal-supply-chain
ESCALER TUNISIA EXPORT,Confection de vêtements et accessoires.,Bizerte,(216) - 72 494 032,https://mt.linkedin.com/company/gcertunisie
ESPOIR MODE,Confection de vêtements de dessus.,Sousse,(216) - 73 827 825,https://ca.linkedin.com/company/espoir-biosciences
ESQUISSE,Confection de vêtements de dessus - Confection de vêtements de dessous.,Sfax,(216) - 26 977 016 / 74 686 208,https://ae.linkedin.com/company/esquisse-design-studio
ESSE ELLE,Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements de dessous - Confection de vêtements et accessoires.,Sousse,(216) - 73 811 881 / 73 256 606,https://ca.linkedin.com/company/esse-arts-opinions
ESSENTI'ELLE,Confection de vêtements de dessous.,Nabeul,(216) - 55 060 157,https://fr.linkedin.com/company/institutquentis
ESTAMPARIA MBF SARL,Finissage textile.,Gafsa,(216) - 20 275 505 / 76 222 826,https://fr.linkedin.com/company/mbf-s.p.a.
ETAM CONFECTION TUNISIE,Fabrication d'autres articles confectionnes en textile.,Monastir,,https://fr.linkedin.com/company/groupe-etam/jobs
ETC (ZERAMDINE),Confection de vêtements de dessus.,Monastir,(216) - 73 498 106 / 73 484 411,https://qa.linkedin.com/company/etc-tunisie
ETC GROUP,Confection de vêtements de dessus.,Monastir,(216) - 73 482 002 / 73 484 411,https://ca.linkedin.com/company/etc-group---action-group-on-erosion-technology-and-concentration
ETIQUETTES ET ACCESSOIRES,Industries textiles n.c.a.,Ariana,(216) - 70 838 800,https://ca.linkedin.com/company/persovet
ETS JAMILA CONFECTION,Confection de vêtements de dessus - Confection de vêtements de dessous.,Monastir,(216) - 52 110 110,https://fr.linkedin.com/company/jamila-s-foods
ETS LAURENT BOYER,Confection de vêtements de travail.,Nabeul,(216) - 71 255 847 / 50 800 006,https://pf.linkedin.com/company/boyer-construction-polyn%C3%A9sie
EURO CONFECTION PLUS,Confection de vêtements de dessus - Confection de vêtements de dessous.,Monastir,(216) - 73 491 032 / 98 368 136,https://fr.linkedin.com/company/deficonfection
EVE LINGERIE,Confection de vêtements de dessous - Confection de vêtements et accessoires.,Ariana,(216) - 70 682 037 / 98 338 942,https://sg.linkedin.com/company/supporting-eve
EVERDENIM SARL,Industries textiles n.c.a.,Monastir,(216) - 70 139 850,https://tn.linkedin.com/company/bestinnov
EVERWASH,Industries textiles n.c.a - Confection de vêtements de dessus.,Monastir,(216) - 70 139 850,https://www.linkedin.com/company/everforth
FA SPALLINOFICIO 22,Confection de vêtements de dessus.,Jendouba,(216) - 24 856 508,https://it.linkedin.com/company/arcoprofil-s.r.l
FABITEX,Confection de vêtements de dessus.,Nabeul,(216) - 72 382 019,https://uk.linkedin.com/company/fabritex
FADHL BEN HAJ SLIMANE,Fabrication artisanale d'articles textiles traditionnels.,Monastir,(216) - 55 557 448,https://in.linkedin.com/company/fermenta-biotech-ltd
FAMATEX CONFECTION,Confection de vêtements de dessous.,Sousse,(216) - 73 264 067,https://be.linkedin.com/company/rom-sarl-tunisie
FARES CONFECTION,Confection de vêtements de dessus.,Bizerte,(216) - 98 956 851 / 72 407 070,https://tn.linkedin.com/company/la-confection-tunisienne-lct
FAROUCHE,Confection de vêtements de dessus.,Tunis,(216) - 71 583 693,https://ca.linkedin.com/company/farouche-tremblant
FAROUK CONFECTION,Industries textiles n.c.a.,Sousse,(216) - 26 666 767 / 73 249 561,https://www.linkedin.com/company/agt-alfarook
FASHION 74,Confection de vêtements de dessus.,Nabeul,(216) - 22 004 327,https://ch.linkedin.com/company/swiss-fashion-time-gmbh
FASHION EFFE,Confection de vêtements de dessus.,Nabeul,(216) - 54 507 600,https://it.linkedin.com/company/effe-2-spa
FASHION HOUSE,Fabrication de pull-overs et articles similaires en mailles - Confection de vêtements de dessus - Confection de vêtements de dessous.,Monastir,(216) - 73 476 210,https://ca.linkedin.com/company/lgfg-fashion-house-1
FASHION MAID,Confection de vêtements de travail - Confection de vêtements de dessous.,Ariana,(216) - 28 614 862,https://au.linkedin.com/company/tailor-maid-communications
FASHION PRINT,Industries textiles n.c.a.,Sousse,(216) - 98 291 816,https://uk.linkedin.com/company/gm-print-design
FASHION SQUARE,Confection de vêtements de dessus - Confection de vêtements de dessous.,Sousse,(216) - 73 386 407,https://in.linkedin.com/company/fashion-square0
FASHION STYLE,Confection de vêtements de dessus.,Nabeul,(216) - 22 300 698,https://in.linkedin.com/company/fashionstylenoida
FASHION WEAR LAUNDRY,Industries textiles n.c.a - Confection de vêtements de dessus.,Monastir,(216) - 70 634 478,https://in.linkedin.com/company/cleanz24india
FATIH SULTAN,Finissage textile.,Beja,(216) - 42 595 959,https://tr.linkedin.com/company/casperturkiye
